zone,state,lga,sector,ea,hhid,shock_cd,shock_other,s12q0,s12q1,s12q2,s12q3,s12q4a,s12q4b,s12q5_1,s12q5_2,s12q5_3,s12q5_4,s12q5_os,s12q6
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,1. Floods,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,2. Irregular rains (including unexpected variation in timing and rainfall amount),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,3. Droughts,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,4. Fire,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,5. Very high temperatures (&gt;40Â°C),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,6. Pests and Plant Diseases,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,7. Death of livestock due to illness,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,8. Post Harvest Loss,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,9. Death of a household member (including all causes),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,10. Diseases or injury of household member (including all causes),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,11. Stopped receiving remittances sent to the household,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,12. Loss of a regular job of a household member,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,"13. Departure of a household member (Abandonment, separation, marriage)",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,14. Loss of an important contract or default by a creditor,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,"15. Nonfarm Business closure, failure or bankruptcy",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,16. Loss of land,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,17. Theft/looting of cash and other property,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,18. Hijacking/robbery/assault of a household member,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,19. Kidnapping/Abduction for ransom,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,20. Domestic violence,,2,2. NO,,,,,,,,,,
