zone,state,lga,ea,hhid,indiv,NEWMEMBER,s1q4,s1q2,s1q3,s1q3_os,s1q6,s1q8,s1q9,s1q10,s1q11,s1q12,s1q13,s1q14,s1q15,s1q15a,s1q16,s1q17,s1q18,s1q19_1,s1q19_2,s1q19_3,s1q19_4,s1q19a,s1q19b,s1q19c,s1q19d,s1q20,s1q21,s1q22a,s1q22b,s1q23,s1q23_os,s1q24,s1q25,s1q26,s1q27,s1q28,s1q29,s1q29b,s1q30,s1q31,s1q32,s1q33,s1q34,s1q34_os,s1q34b,s1q35,s1q36,s1q36_os,s1q37,s1q38,s1q39,s1q39_os,s1q39a,s1q39b,s1q39c,s1q39d,s1q39e,s1q39f,s1q39g,s1q39h,s1q39i__1,s1q39i__2,s1q39i__3,s1q39i__4,s1q39i__5,s1q39i__6,s1q39i__7,s1q39i__8,s1q39i__9,s1q39i__10,s1q39i__11,s1q39i__12,s1q39i__13,s1q39i__14,s1q39i__96,s1q39i_os,s1q39j,s1q39k__1,s1q39k__2,s1q39k__3,s1q39k__4,s1q39k__5,s1q39k__6,s1q39k__7,s1q39k__8,s1q39k__9,s1q39k__10,s1q39k__11,s1q39k__12,s1q39k__13,s1q39k__14,s1q39k__96,s1q39k_os,s1q40a,s1q40b,s1q40c,s1q40d,s1q41,s1q42a,s1q44,months_left,s1q45,s1q45_os
4. South East,1. Abia,115. UMUAHIA NORTH,670,10001,1,0,1. YES,1. MALE,1. HEAD,,63,2. NO,,,1960,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),37,1. YES,2,,,,1987,,,,2. NO,,,,,,,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,2. NO,0. NONE,8. WHOLESALE &amp; RETAIL TRADE,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10001,2,0,1. YES,2. FEMALE,2. SPOUSE,,63,2. NO,,,1960,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10001,3,0,1. YES,2. FEMALE,3. OWN CHILD,,13,1. YES,"4. NO, CERTIFICATE  IS NOT IN THIS  DWELLING",,2010,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10001,4,0,1. YES,2. FEMALE,12. DOMESTIC HELP (RESIDENT),,54,2. NO,,,1969,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10001,8,0,1. YES,1. MALE,3. OWN CHILD,,10,1. YES,"4. NO, CERTIFICATE  IS NOT IN THIS  DWELLING",,2013,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10001,9,0,1. YES,1. MALE,3. OWN CHILD,,7,1. YES,"4. NO, CERTIFICATE  IS NOT IN THIS  DWELLING",,2016,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10001,101,0,1. YES,2. FEMALE,7. BROTHER/SISTER,,66,2. NO,,,1957,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,5. SEPARATED,30,,,,,,,,,,,,,,,,,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10002,1,0,1. YES,1. MALE,1. HEAD,,56,2. NO,,,1967,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),30,1. YES,2,,,,1998,,,,2. NO,,,,,,,2. NO,,1. YES,31. TEACHER CERTIFICATE GRADE II (TCGDII),11. EDUCATION,1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,1. YES,26. SS3,8. WHOLESALE &amp; RETAIL TRADE,,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10002,2,0,1. YES,2. FEMALE,2. SPOUSE,,52,2. NO,,,1971,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,1. YES,26. SS3,6. CONSTRUCTION,2. IN ANOTHER STATE IN NIGERIA,2. NO,,2. NO,16. P6,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10002,3,0,1. YES,1. MALE,3. OWN CHILD,,25,1. YES,"3. NO, COULD NOT  LOCATE  CERTIFICATE",,1998,1. YES,,2. NO,4,1. YES,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
