zone,state,lga,sector,ea,hhid,indiv,FILTER,s1dq1,s1dq3a,s1dq3b,s1dq3c_1,s1dq3c_2,s1dq3c_os,s1dq4,s1dq4_os,s1dq4a,s1dq4a_os,s1dq4b_1,s1dq4b_2,s1dq4b_os,s1dq5,s1dq5_os,s1dq6,s1dq7,s1dq7a__1,s1dq7a__2,s1dq7a__3,s1dq7a__4,s1dq7a__96,s1dq7a_os,s1dq7b,s1dq7b_os,s1dq8a,s1dq8b,s1dq8c,s1dq8c_os,s1dq8d__1,s1dq8d__2,s1dq8d__3,s1dq8d__4,s1dq8d__5,s1dq8d__6,s1dq8d__7,s1dq8d__8,s1dq8d__9,s1dq8d__10,s1dq8d__11,s1dq8d__12,s1dq8d__13,s1dq8d__14,s1dq8d__15,s1dq8d__16,s1dq8d__17,s1dq8d__18,s1dq8d__19,s1dq8d__96,s1dq8d_os
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,3,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,4,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,8,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,9,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,101,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,8,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,9,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,1301,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,4,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,5,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,7,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,6,1. YES,1. YES,1. YES,2. TEMPORARILY,1. FIND BETTER JOBS,,,Moving to a town/city - another State,,,,EASIER TO GET VISA/WORK PERMITS/DOCUMENTATION,,,9. LACK OF CONNECTIONS OR ACQUAINTANCES,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,7,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
