zone,state,lga,sector,ea,hhid,indiv,s4aq1,s4aq2,s4aq3,s4aq4,s4aq5,s4aq6,s4aq7,s4aq8,s4aq9,s4aq10,s4aq11,s4aq12,s4aq13a,s4aq13b,s4aq13c,s4aq14,s4aq15,s4aq16,s4aq17,s4aq18,s4aq19a,s4aq19b,s4aq19c,s4aq20,s4aq21,s4aq22a,s4aq22b,s4aq22,s4aq23,s4aq23_os,s4aq24,s4aq25,s4aq26,s4aq27a,s4aq27b,s4aq27c,s4aq28,s4aq29,s4aq30__1,s4aq30__2,s4aq30__3,s4aq30__4,s4aq30__5,s4aq30__6,s4aq30__7,s4aq30__8,s4aq30__96,s4aq30_os,s4aq31,s4aq32,s4aq33,s4aq33_os,s4aq34,s4aq35,s4aq36,s4aq36_os,s4aq37,s4aq37_os,s4aq38,s4aq40,s4aq40_code,s4aq41,s4aq41_code,s4aq41c,s4aq41c_os,s4aq42,s4aq43,s4aq44,s4aq45,s4aq46,s4aq47,s4aq47_tunit,s4aq48,s4aq49a,s4aq49b,s4aq50_1,s4aq50_2,s4aq50_3,s4aq50_4,s4aq50_5,s4aq50_6,s4aq51,s4aq52,s4aq52_os,s4aq53,s4aq54,s4aq55,s4aq56,s4aq57__1,s4aq57__2,s4aq57__3,s4aq57__4,s4aq57__5,s4aq57__6,s4aq57__7,s4aq57__8,s4aq57__9,s4aq57__10,s4aq57__96,s4aq57_os,s4aq58__0,s4aq58__1,s4aq58__2,s4aq58__3,s4aq58__4,s4aq58__5,s4aq58__6,s4aq58__7,s4aq58__8,s4aq58__9,s4aq58__10,s4aq58__11,s4aq58__12,s4aq58__13,s4aq58__14,s4aq58__15,s4aq58__16,s4aq58__17,s4aq58__18,s4aq58__19,s4aq58nb,s4aq59,s4aq60,s4aq61a,s4aq61b,s4aq62,s4aq63a,s4aq63b
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,1,1. YES,1. YES,,1. YES,3,1. YES,9,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,LABOURATORY SPECIALIST/ LAB SERVICES,3212. Medical and pathology laboratory technicians,LABOURATORY  SPECIALIST  AND TESTS,8620. Medical and dental practice activities,"PROFFESIONAL, SCIENTIFIC, TECHNICAL ACTIVITIES",,1. In own business or farming activity,12,4,6,9,100000,5. ONE MONTH,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,2,1. YES,1. YES,,1. YES,8,1. YES,3,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,HELPING  IN OUR BUSINESS  OF LABOURATORY,3212. Medical and pathology laboratory technicians,MEDICAL  LABOURATORY   TESTS  SERVICES,8620. Medical and dental practice activities,"PROFFESIONAL, SCIENTIFIC, TECHNICAL ACTIVITIES",,1. In own business or farming activity,12,4,6,9,20000,5. ONE MONTH,2. NO,,,0,1,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,3,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,4,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Engaged in cultural/leisure activities,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,8,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,9,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,101,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Doing nothing,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,1,1. YES,1. YES,,1. YES,35,2. NO,,2. NO,,1. YES,,6,2. Both for sale and for household use,4. 3/4 (75 PERCENT),,1. Yes,,,,,,,,2. No,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,SETTLING MATTERS BETWEEN PEOPLE IN THE COURT,2619. Legal professionals not elsewhere classified,SETTLING CASE BETWEEN PEOPLE IN THE COURT,6910. Legal activities,"PROFFESIONAL, SCIENTIFIC, TECHNICAL ACTIVITIES",,3. As an employee,12,4,5,8,250000,5. ONE MONTH,2. NO,,,0,1,,,,,1. Yes,1. FEDERAL GOVERNMENT,,2. NO,1. YES,6. 50+,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4. EVERY WEEK,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,2,1. YES,2. NO,1,1. YES,35,2. NO,,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,AN ADMINISTRATIVE OFFICER IN LOCAL GOVERNMENT,3343. Administrative and executive secretaries,DOING AN ADMINISTRATIVE WORK IN A LOCAL GOVERNMENT,8411. General public administration activities,PUBLIC ADMINISTRATION,,3. As an employee,12,4,5,8,80000,5. ONE MONTH,2. NO,,,0,1,,,,,1. Yes,3. LOCAL GOVERNMENT,,2. NO,2. NO,6. 50+,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4. EVERY WEEK,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,3,1. YES,2. NO,1,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,8,1. YES,2. NO,1,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,9,1. YES,2. NO,1,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,1301,1. YES,2. NO,1,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,1,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Doing nothing,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
