zone,state,lga,sector,ea,hhid,cluster,strata,wt_wave5,wt_longpanel_wave5,wt_cross_wave5,interview_result,old_new,trackedw4,trackedw5pp,hh_located,hh_moved,hh_able_toint,rspavl,consent,InterviewStart,ag1,ag1a,ag1b__1,ag1b__2,ag1b__3,ag1b__4,ag1b__5,ag1c_1,ag1c_2,ag1c_3,ag1c_os,ag2,ag3,ag4
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,115-670,4,15885.095703125,26131.470703125,7815.80076686835,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T11:34:57,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,115-670,4,16588.6875,30003.029296875,8593.038490257506,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T14:41:04,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10003,115-670,4,,,,7. REFUSED,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,2. NO,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,115-670,4,16499.96875,28130.33203125,10833.382132806972,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T12:11:54,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,115-670,4,16588.6875,27335.3046875,8380.989149697492,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-19T12:59:54,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,115-670,4,15885.095703125,27335.3046875,9613.875305297142,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T15:46:36,2. NO,2. NO,,,,,,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,115-670,4,16588.6875,25887.626953125,10333.816949356067,1. COMPLETE,1. Old Panel household,1. YES,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-13T15:53:22,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,1. YES
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,115-670,4,16588.6875,24107.9921875,8786.844252623212,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T14:31:38,2. NO,2. NO,,,,,,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10031,111-1146,4,4999.5458984375,25618.62109375,8122.6957249036,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T11:40:53,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10032,111-1146,4,5320.6044921875,37619.9765625,5979.009236549434,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T11:40:34,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
