feature,imp_mean,imp_std
s1q6,0.05963397528577905,0.00393802688613397
remesas_interior,0.01411247148095034,0.0027965754496534477
zona_West,0.012049467677102577,0.0011949807941372442
s1q25,0.008504620919789641,0.0019553733609876103
s1q8,0.008482198031572552,0.0014938949798163656
s1q2,0.006498145158284396,0.0007903454623329315
zona_South,0.006376771221802202,0.0006345219686147592
n_shocks,0.006166676802413784,0.0008122724683940329
s9q1b,0.004787934014324746,0.0005222223078109783
zona_East,0.004739821911654241,0.0005945101227197979
edu_nivel,0.004693671566483026,0.001475649515860256
s9q1i,0.004655927352196309,0.0005282892136453994
s9q2a,0.003961357300778667,0.0003830422164092315
shock_droughts,0.0038724700684849567,0.0003183888671346538
s9q4,0.003184275728940045,0.00046718986766549947
shock_increase_in_price_of_farm,0.0030668449250314533,0.0005317947810883287
s9q1d,0.0029579183398823483,0.0005021601565356027
s9q1h,0.0027413599295337044,0.0006038903349781169
s9q1g,0.0025799955664280393,0.00043386876659613234
shock_increase_in_price_of_majo,0.0025628596146715977,0.00033362858565386117
shock_very_high_temperatures_(&,0.0025349143790939555,0.0006503709164695452
s9q1j,0.0022121660353077387,0.00017163487693352028
shock_increase_in_price_of_oil_,0.0017946059515799196,0.0006507084855688416
s9q1c,0.0016809417220699507,0.00030866843352930166
s9q1a,0.0016783718197459162,0.00024399600301064112
shock_increase_in_prices_of_oth,0.0016766847082964943,0.0006335647416748477
s9q1f,0.0015465417157923711,0.0002848279707626913
s9q1e,0.0013824210834001982,0.00027237150218567774
shock_theft_looting_of_cash_and,0.001199143889027321,0.00043911754976979966
shock_shortage_scarcity_of_petr,0.0010875689312541347,0.00033818905907989465
shock_death_of_livestock_due_to,0.0003602277208105464,4.9312809704879925e-05
shock_floods,0.0002589912250587245,0.0002497686127565578
remesas_exterior,0.00021914793024779833,9.094782453759976e-05
shock_kidnapping_abduction_for_,0.00020902526155132107,0.00015475241687009625
shock_post_harvest_loss,0.0001616782443055187,0.00012169813718638871
shock_fall_in_the_price_of_farm,0.00012850492499220101,9.890263664847143e-05
shock_pests_and_plant_diseases,0.00011435084463472523,0.00013952366886216892
shock_diseases_or_injury_of_hou,0.00011353671527249975,4.780447710715007e-05
shock_death_of_a_household_memb,7.216324961210053e-05,2.565702265876593e-05
shock_fire,4.098111416056538e-05,8.000410273278586e-05
shock_loss_of_a_regular_job_of_,1.1093738658585205e-05,9.709654285395013e-06
shock_irregular_rains_(includin,1.058368170876456e-05,0.00012764111098780286
shock_loss_of_an_important_cont,1.0387505958853182e-05,3.58482667947261e-06
shock_hijacking_robbery_assault,8.582689059477566e-06,1.3410248401789762e-05
"shock_nonfarm_business_closure,",5.836228560474055e-06,3.0462981583794048e-05
shock_departure_of_a_household_,5.4929209980403295e-06,1.5160527447952868e-05
shock_other_(specify),0.0,0.0
tiene_datos_laborales,0.0,0.0
shock_withdraw_of_assistance_(g,0.0,0.0
shock_domestic_violence,0.0,0.0
tiene_empleo,0.0,0.0
ingreso_mensual,0.0,0.0
shock_stopped_receiving_remitta,-2.540475961598787e-06,1.4388688880238723e-05
shock_dwelling_farm_buildings_b,-1.4536623069849597e-05,2.466198376868936e-05
shock_loss_of_land,-6.363941327758305e-05,3.937472109954295e-05
s4aq4,-0.00023653891047912268,0.0003096278386759672
