ANO4,CH03,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_OCUP,CAT_INAC,PP07H,P21,PP3E_TOT,PONDERA,IPCF
2005.0,1.0,1.0,37.0,2.0,1.0,5.0,1.0,3.0,0.0,1.0,1000.0,0.0,1542.0,500.0
2005.0,2.0,2.0,37.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,1000.0,25.0,1542.0,500.0
2005.0,3.0,1.0,9.0,5.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1542.0,500.0
2005.0,3.0,1.0,7.0,5.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1542.0,500.0
2005.0,1.0,1.0,37.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,1000.0,72.0,1256.0,250.0
2005.0,2.0,2.0,24.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,0.0,0.0,1256.0,250.0
2005.0,3.0,1.0,8.0,5.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1256.0,250.0
2005.0,3.0,2.0,0.0,5.0,1.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,1256.0,250.0
2005.0,1.0,1.0,44.0,5.0,1.0,4.0,1.0,3.0,0.0,1.0,800.0,40.0,1302.0,1000.0
2005.0,8.0,2.0,44.0,5.0,1.0,6.0,1.0,3.0,0.0,1.0,700.0,20.0,1302.0,1000.0
2005.0,8.0,1.0,38.0,5.0,1.0,6.0,1.0,3.0,0.0,2.0,500.0,32.0,1302.0,1000.0
2005.0,1.0,1.0,52.0,2.0,1.0,4.0,1.0,3.0,0.0,1.0,6000.0,40.0,1796.0,2250.0
2005.0,2.0,2.0,41.0,2.0,1.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,1796.0,2250.0
2005.0,3.0,1.0,10.0,5.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1796.0,2250.0
2005.0,3.0,1.0,5.0,5.0,1.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,1796.0,2250.0
2005.0,1.0,1.0,84.0,4.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1297.0,320.0
2005.0,1.0,1.0,86.0,4.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1235.0,500.0
2005.0,3.0,2.0,43.0,5.0,4.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,1235.0,500.0
2005.0,1.0,2.0,24.0,5.0,4.0,6.0,3.0,0.0,4.0,0.0,0.0,0.0,692.0,736.0
2005.0,8.0,2.0,21.0,5.0,1.0,5.0,1.0,3.0,0.0,1.0,1100.0,48.0,692.0,736.0
2005.0,8.0,2.0,20.0,5.0,1.0,5.0,1.0,3.0,0.0,1.0,500.0,36.0,692.0,736.0
2005.0,6.0,1.0,44.0,2.0,1.0,4.0,1.0,3.0,0.0,1.0,980.0,75.0,692.0,736.0
2005.0,6.0,2.0,41.0,2.0,1.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,692.0,736.0
2005.0,1.0,2.0,61.0,4.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1016.0,175.0
2005.0,3.0,1.0,24.0,5.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1016.0,175.0
2005.0,1.0,1.0,47.0,1.0,4.0,4.0,1.0,3.0,0.0,2.0,800.0,84.0,1203.0,366.6666666666667
2005.0,2.0,2.0,49.0,1.0,4.0,3.0,1.0,3.0,0.0,2.0,300.0,21.0,1203.0,366.6666666666667
2005.0,3.0,2.0,6.0,5.0,4.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1203.0,366.6666666666667
2005.0,1.0,2.0,60.0,3.0,4.0,3.0,1.0,3.0,0.0,1.0,750.0,40.0,1155.0,875.0
2005.0,3.0,2.0,27.0,5.0,4.0,5.0,1.0,3.0,0.0,2.0,1000.0,40.0,1155.0,875.0
2005.0,1.0,1.0,41.0,1.0,1.0,5.0,1.0,3.0,0.0,1.0,2600.0,40.0,1150.0,840.0
2005.0,2.0,2.0,41.0,1.0,1.0,5.0,1.0,3.0,0.0,1.0,1600.0,40.0,1150.0,840.0
2005.0,3.0,1.0,12.0,5.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1150.0,840.0
2005.0,3.0,1.0,2.0,5.0,1.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,1150.0,840.0
2005.0,3.0,1.0,15.0,5.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1150.0,840.0
2005.0,1.0,1.0,54.0,2.0,1.0,4.0,1.0,2.0,0.0,0.0,6000.0,50.0,1160.0,3333.3333333333335
2005.0,2.0,2.0,56.0,2.0,1.0,6.0,1.0,2.0,0.0,0.0,4000.0,40.0,1160.0,3333.3333333333335
2005.0,3.0,2.0,16.0,5.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1160.0,3333.3333333333335
2005.0,1.0,1.0,31.0,5.0,1.0,4.0,1.0,3.0,0.0,1.0,1120.0,48.0,1168.0,1970.0
2005.0,1.0,1.0,42.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,6000.0,64.0,1664.0,3000.0
2005.0,3.0,2.0,33.0,1.0,4.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,1664.0,3000.0
2005.0,1.0,1.0,25.0,1.0,4.0,3.0,1.0,2.0,0.0,0.0,300.0,24.0,2245.0,126.66666666666667
2005.0,2.0,2.0,21.0,1.0,4.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,2245.0,126.66666666666667
2005.0,3.0,2.0,0.0,5.0,4.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,2245.0,126.66666666666667
2005.0,1.0,1.0,43.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,1700.0,66.0,1906.0,960.0
2005.0,2.0,2.0,45.0,2.0,1.0,4.0,1.0,3.0,0.0,1.0,1200.0,50.0,1906.0,960.0
2005.0,7.0,2.0,84.0,4.0,1.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,1906.0,960.0
2005.0,3.0,2.0,15.0,5.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1906.0,960.0
2005.0,3.0,1.0,12.0,5.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1906.0,960.0
2005.0,1.0,2.0,29.0,5.0,1.0,4.0,1.0,3.0,0.0,1.0,900.0,54.0,1312.0,450.0
2005.0,3.0,1.0,8.0,5.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1312.0,450.0
2005.0,1.0,1.0,36.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,1200.0,56.0,1078.0,1400.0
2005.0,1.0,1.0,55.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,1300.0,66.0,1058.0,840.0
2005.0,2.0,2.0,54.0,2.0,2.0,4.0,1.0,3.0,0.0,2.0,500.0,20.0,1058.0,840.0
2005.0,3.0,2.0,27.0,5.0,1.0,5.0,1.0,3.0,0.0,1.0,700.0,25.0,1058.0,840.0
2005.0,3.0,2.0,27.0,5.0,1.0,5.0,1.0,3.0,0.0,1.0,900.0,40.0,1058.0,840.0
2005.0,3.0,2.0,19.0,5.0,2.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,1058.0,840.0
2005.0,1.0,1.0,56.0,2.0,2.0,6.0,1.0,3.0,0.0,2.0,6500.0,45.0,1107.0,1625.0
2005.0,2.0,2.0,53.0,2.0,2.0,6.0,3.0,0.0,4.0,0.0,0.0,0.0,1107.0,1625.0
2005.0,3.0,1.0,21.0,5.0,2.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,1107.0,1625.0
2005.0,3.0,1.0,18.0,5.0,2.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,1107.0,1625.0
2005.0,1.0,2.0,85.0,4.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1445.0,1900.0
2005.0,1.0,2.0,82.0,4.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1352.0,600.0
2005.0,1.0,2.0,66.0,4.0,2.0,6.0,1.0,2.0,0.0,0.0,150.0,4.0,1155.0,987.25
2005.0,3.0,1.0,40.0,5.0,1.0,6.0,1.0,3.0,0.0,1.0,900.0,50.0,1155.0,987.25
2005.0,3.0,2.0,36.0,5.0,12.0,6.0,1.0,3.0,0.0,1.0,1200.0,50.0,1155.0,987.25
2005.0,3.0,2.0,33.0,5.0,12.0,6.0,1.0,3.0,0.0,1.0,0.0,50.0,1155.0,987.25
2005.0,1.0,1.0,56.0,5.0,1.0,6.0,1.0,3.0,0.0,1.0,3250.0,30.0,1540.0,5750.0
2005.0,1.0,2.0,56.0,3.0,1.0,6.0,1.0,2.0,0.0,0.0,1500.0,90.0,1276.0,750.0
2005.0,3.0,2.0,16.0,5.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1276.0,750.0
2005.0,1.0,1.0,56.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,1000.0,44.0,943.0,166.66666666666666
2005.0,2.0,2.0,49.0,2.0,1.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,943.0,166.66666666666666
2005.0,3.0,2.0,25.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,943.0,166.66666666666666
2005.0,3.0,2.0,22.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,943.0,166.66666666666666
2005.0,3.0,2.0,17.0,5.0,1.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,943.0,166.66666666666666
2005.0,3.0,2.0,14.0,5.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,943.0,166.66666666666666
2005.0,1.0,1.0,35.0,1.0,1.0,6.0,1.0,3.0,0.0,1.0,2000.0,40.0,1338.0,1333.3333333333333
2005.0,2.0,2.0,35.0,1.0,2.0,6.0,1.0,3.0,0.0,2.0,2000.0,50.0,1338.0,1333.3333333333333
2005.0,3.0,1.0,4.0,5.0,2.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,1338.0,1333.3333333333333
2005.0,1.0,1.0,69.0,3.0,2.0,6.0,1.0,1.0,0.0,0.0,3500.0,40.0,1244.0,4080.0
2005.0,1.0,2.0,46.0,5.0,1.0,4.0,1.0,3.0,0.0,1.0,360.0,56.0,1244.0,360.0
2005.0,1.0,1.0,34.0,2.0,1.0,4.0,1.0,3.0,0.0,1.0,830.0,50.0,991.0,1447.5
2005.0,2.0,2.0,36.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,700.0,30.0,991.0,1447.5
2005.0,1.0,1.0,69.0,2.0,12.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1225.0,1160.0
2005.0,2.0,2.0,64.0,2.0,12.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1225.0,1160.0
2005.0,1.0,2.0,37.0,2.0,2.0,6.0,1.0,2.0,0.0,0.0,3000.0,30.0,1094.0,1800.0
2005.0,2.0,1.0,38.0,2.0,2.0,6.0,1.0,3.0,0.0,2.0,600.0,30.0,1094.0,1800.0
2005.0,1.0,2.0,47.0,3.0,1.0,4.0,1.0,3.0,0.0,1.0,1200.0,35.0,888.0,400.0
2005.0,3.0,1.0,24.0,5.0,4.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,888.0,400.0
2005.0,3.0,1.0,22.0,5.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,888.0,400.0
2005.0,1.0,1.0,33.0,2.0,1.0,6.0,1.0,2.0,0.0,0.0,1000.0,30.0,1097.0,878.3333333333334
2005.0,2.0,2.0,34.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,1600.0,40.0,1097.0,878.3333333333334
2005.0,3.0,2.0,3.0,5.0,1.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,1097.0,878.3333333333334
2005.0,1.0,1.0,44.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,700.0,60.0,1373.0,362.5
2005.0,2.0,2.0,41.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,750.0,25.0,1373.0,362.5
2005.0,3.0,1.0,8.0,5.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1373.0,362.5
2005.0,3.0,2.0,3.0,5.0,1.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,1373.0,362.5
2005.0,1.0,2.0,82.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1346.0,440.0
2005.0,1.0,1.0,75.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1452.0,297.5
2005.0,2.0,2.0,64.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1452.0,297.5
2005.0,1.0,2.0,85.0,5.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1529.0,330.0
2005.0,1.0,1.0,38.0,2.0,1.0,5.0,1.0,3.0,0.0,1.0,1200.0,40.0,1233.0,500.0
2005.0,2.0,2.0,39.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,300.0,15.0,1233.0,500.0
