Variable,Logit_sin_pen,LASSO_L1,Ridge_L2
CH03,0.0241,0.0243,0.0249
CH04,-0.0472,-0.0475,-0.0473
CH06,-2.1285,-2.126,-2.0907
CH07,0.052,0.0519,0.0533
CH08,0.902,0.9009,0.8998
CH09,-0.0449,-0.0448,-0.0448
CH10,-0.0358,-0.0361,-0.0365
CH11,-0.04,-0.0399,-0.0399
CH12,0.0091,0.01,0.0091
CH13,0.0061,0.0052,0.0059
CH15,0.0175,0.0172,0.0172
CH16,-0.0196,-0.0195,-0.0194
NIVEL_ED,-0.1259,-0.1272,-0.1266
edad2,2.0986,2.0958,2.0611
CAT_OCUP,1.2548,1.2537,1.2522
INTENSI,0.1077,0.1071,0.1077
PP03C,0.3385,0.3365,0.3383
PP03D,-0.2817,-0.2786,-0.2817
PP3E_TOT,-0.2637,-0.263,-0.264
PP3F_TOT,0.0026,0.0019,0.0022
PP03G,-0.037,-0.0369,-0.0372
PP03H,0.104,0.1039,0.1038
PP03I,0.1013,0.1018,0.1015
PP03J,-0.1175,-0.1181,-0.1176
PP04A,0.3021,0.3021,0.3021
PP04B1,-0.3457,-0.3555,-0.3459
PP04B2,-0.0239,-0.0317,-0.024
PP04C,-0.0017,-0.0014,-0.0017
PP04G,-0.3238,-0.3222,-0.3231
AGLOMERADO,0.0802,0.08,0.08
Error_test,0.2024,0.2024,0.2015
