CH03,CH04,CH06,CH07,CH08,CH09,CH10,CH11,CH12,CH13,CH15,CH16,NIVEL_ED,edad2,CAT_OCUP,INTENSI,PP03C,PP03D,PP3E_TOT,PP3F_TOT,PP03G,PP03H,PP03I,PP03J,PP04A,PP04B1,PP04B2,PP04C,PP04G,PP07A,PP07C,PP07D,PP07E,PP07F1,PP07F2,PP07F3,PP07F4,PP07F5,PP07G1,PP07G2,PP07G3,PP07G4,PP07G_59,PP07H,PP07I,PP07J,PP07K,AGLOMERADO,informal
1.0,2.0,47.0,1.0,1.0,1.0,2.0,0.0,7.0,1.0,2.0,1.0,6.0,2209.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,12.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
2.0,1.0,35.0,1.0,1.0,1.0,2.0,0.0,7.0,1.0,1.0,1.0,6.0,1225.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,11.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
1.0,1.0,28.0,1.0,12.0,1.0,2.0,0.0,7.0,1.0,1.0,1.0,6.0,784.0,3.0,3.0,2.0,2.0,40.0,8.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,6.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,32.0,1
2.0,2.0,29.0,1.0,12.0,1.0,2.0,0.0,7.0,1.0,1.0,1.0,6.0,841.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,32.0,1
3.0,1.0,32.0,5.0,1.0,1.0,2.0,0.0,7.0,1.0,1.0,1.0,6.0,1024.0,3.0,1.0,1.0,0.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,12.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
9.0,1.0,34.0,5.0,4.0,1.0,1.0,1.0,7.0,2.0,5.0,1.0,5.0,1156.0,3.0,1.0,1.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,99.0,11.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,4.0,33.0,1
3.0,2.0,48.0,3.0,4.0,1.0,2.0,0.0,7.0,2.0,1.0,1.0,5.0,2304.0,2.0,2.0,1.0,0.0,30.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
3.0,1.0,46.0,5.0,4.0,1.0,2.0,0.0,7.0,1.0,1.0,1.0,6.0,2116.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,4.0,5.0,9.0,9.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
9.0,1.0,38.0,5.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,1444.0,2.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
1.0,2.0,42.0,5.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,1764.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
1.0,1.0,54.0,2.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,2916.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,7.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
2.0,2.0,49.0,2.0,1.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,6.0,2401.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,8.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
1.0,2.0,46.0,1.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,2116.0,3.0,1.0,1.0,0.0,8.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
2.0,1.0,51.0,1.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,2601.0,3.0,3.0,1.0,0.0,72.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,99.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
3.0,2.0,20.0,5.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,400.0,3.0,3.0,1.0,0.0,57.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,5.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
2.0,1.0,63.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,4.0,1.0,1.0,3969.0,3.0,3.0,1.0,0.0,80.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,11.0,4.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,33.0,0
3.0,2.0,23.0,1.0,1.0,1.0,2.0,0.0,7.0,2.0,1.0,1.0,5.0,529.0,3.0,3.0,1.0,0.0,84.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,7.0,11.0,5.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
4.0,1.0,23.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,529.0,3.0,3.0,1.0,0.0,72.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,99.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,33.0,0
1.0,1.0,58.0,2.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,3364.0,3.0,3.0,1.0,0.0,54.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,8.0,5.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
2.0,2.0,43.0,2.0,1.0,1.0,2.0,0.0,4.0,1.0,4.0,1.0,4.0,1849.0,3.0,2.0,1.0,0.0,40.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
1.0,1.0,43.0,1.0,1.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,6.0,1849.0,3.0,2.0,1.0,0.0,35.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,12.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
